Make,Model,Engine Fuel Type,Engine HP,Engine Cylinders,Transmission Type,Driven_Wheels,Number of Doors,Vehicle Size,Vehicle Style,highway MPG,city mpg,Popularity,Price,Car_Age,HP_per_Cylinder,Mileage
BMW,1 Series M,premium unleaded (required),335.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Coupe,26,19,3916,46135,15,55.833333333333336,22.5
BMW,1 Series,premium unleaded (required),300.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Convertible,28,19,3916,40650,15,50.0,23.5
BMW,1 Series,premium unleaded (required),300.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Coupe,28,20,3916,36350,15,50.0,24.0
BMW,1 Series,premium unleaded (required),230.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Coupe,28,18,3916,29450,15,38.333333333333336,23.0
BMW,1 Series,premium unleaded (required),230.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Convertible,28,18,3916,34500,15,38.333333333333336,23.0
BMW,1 Series,premium unleaded (required),230.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Coupe,28,18,3916,31200,14,38.333333333333336,23.0
BMW,1 Series,premium unleaded (required),300.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Convertible,26,17,3916,44100,14,50.0,21.5
BMW,1 Series,premium unleaded (required),300.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Coupe,28,20,3916,39300,14,50.0,24.0
BMW,1 Series,premium unleaded (required),230.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Convertible,28,18,3916,36900,14,38.333333333333336,23.0
BMW,1 Series,premium unleaded (required),230.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Convertible,27,18,3916,37200,13,38.333333333333336,22.5
BMW,1 Series,premium unleaded (required),300.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Coupe,28,20,3916,39600,13,50.0,24.0
BMW,1 Series,premium unleaded (required),230.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Coupe,28,19,3916,31500,13,38.333333333333336,23.5
BMW,1 Series,premium unleaded (required),300.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Convertible,28,19,3916,44400,13,50.0,23.5
BMW,1 Series,premium unleaded (required),230.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Convertible,28,19,3916,37200,13,38.333333333333336,23.5
BMW,1 Series,premium unleaded (required),320.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Convertible,25,18,3916,48250,13,53.333333333333336,21.5
BMW,1 Series,premium unleaded (required),320.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Coupe,28,20,3916,43550,13,53.333333333333336,24.0
Audi,100,regular unleaded,172.0,6.0,MANUAL,front wheel drive,4.0,Midsize,Sedan,24,17,3105,2000,34,28.666666666666668,20.5
Audi,100,regular unleaded,172.0,6.0,AUTOMATIC,all wheel drive,4.0,Midsize,Wagon,20,16,3105,2000,34,28.666666666666668,18.0
Audi,100,regular unleaded,172.0,6.0,MANUAL,all wheel drive,4.0,Midsize,Sedan,21,16,3105,2000,34,28.666666666666668,18.5
Audi,100,regular unleaded,172.0,6.0,MANUAL,front wheel drive,4.0,Midsize,Sedan,24,17,3105,2000,33,28.666666666666668,20.5
Audi,100,regular unleaded,172.0,6.0,AUTOMATIC,all wheel drive,4.0,Midsize,Wagon,20,16,3105,2000,33,28.666666666666668,18.0
Audi,100,regular unleaded,172.0,6.0,MANUAL,all wheel drive,4.0,Midsize,Sedan,21,16,3105,2000,33,28.666666666666668,18.5
Audi,100,regular unleaded,172.0,6.0,AUTOMATIC,front wheel drive,4.0,Midsize,Wagon,21,16,3105,2000,32,28.666666666666668,18.5
Audi,100,regular unleaded,172.0,6.0,MANUAL,all wheel drive,4.0,Midsize,Sedan,22,16,3105,2000,32,28.666666666666668,19.0
Audi,100,regular unleaded,172.0,6.0,MANUAL,front wheel drive,4.0,Midsize,Sedan,22,17,3105,2000,32,28.666666666666668,19.5
Audi,100,regular unleaded,172.0,6.0,AUTOMATIC,front wheel drive,4.0,Midsize,Sedan,22,16,3105,2000,32,28.666666666666668,19.0
Audi,100,regular unleaded,172.0,6.0,AUTOMATIC,all wheel drive,4.0,Midsize,Wagon,21,16,3105,2000,32,28.666666666666668,18.5
FIAT,124 Spider,premium unleaded (recommended),160.0,4.0,MANUAL,rear wheel drive,2.0,Compact,Convertible,35,26,819,27495,9,40.0,30.5
FIAT,124 Spider,premium unleaded (recommended),160.0,4.0,MANUAL,rear wheel drive,2.0,Compact,Convertible,35,26,819,24995,9,40.0,30.5
FIAT,124 Spider,premium unleaded (recommended),160.0,4.0,MANUAL,rear wheel drive,2.0,Compact,Convertible,35,26,819,28195,9,40.0,30.5
Mercedes-Benz,190-Class,regular unleaded,130.0,4.0,MANUAL,rear wheel drive,4.0,Compact,Sedan,26,18,617,2000,35,32.5,22.0
Mercedes-Benz,190-Class,regular unleaded,158.0,6.0,MANUAL,rear wheel drive,4.0,Compact,Sedan,25,17,617,2000,35,26.333333333333332,21.0
Mercedes-Benz,190-Class,regular unleaded,158.0,6.0,MANUAL,rear wheel drive,4.0,Compact,Sedan,25,17,617,2000,34,26.333333333333332,21.0
Mercedes-Benz,190-Class,regular unleaded,130.0,4.0,MANUAL,rear wheel drive,4.0,Compact,Sedan,26,18,617,2000,34,32.5,22.0
Mercedes-Benz,190-Class,regular unleaded,130.0,4.0,MANUAL,rear wheel drive,4.0,Compact,Sedan,26,18,617,2000,33,32.5,22.0
Mercedes-Benz,190-Class,regular unleaded,158.0,6.0,MANUAL,rear wheel drive,4.0,Compact,Sedan,25,17,617,2000,33,26.333333333333332,21.0
BMW,2 Series,premium unleaded (required),240.0,4.0,AUTOMATIC,rear wheel drive,2.0,Compact,Coupe,35,23,3916,32850,10,60.0,29.0
BMW,2 Series,premium unleaded (required),240.0,4.0,AUTOMATIC,rear wheel drive,2.0,Compact,Convertible,34,23,3916,38650,10,60.0,28.5
BMW,2 Series,premium unleaded (required),320.0,6.0,AUTOMATIC,rear wheel drive,2.0,Compact,Convertible,31,20,3916,48750,10,53.333333333333336,25.5
BMW,2 Series,premium unleaded (required),240.0,4.0,AUTOMATIC,all wheel drive,2.0,Compact,Coupe,35,23,3916,34850,10,60.0,29.0
BMW,2 Series,premium unleaded (required),240.0,4.0,AUTOMATIC,all wheel drive,2.0,Compact,Convertible,34,22,3916,40650,10,60.0,28.0
BMW,2 Series,premium unleaded (required),320.0,6.0,AUTOMATIC,rear wheel drive,2.0,Compact,Coupe,31,20,3916,44150,10,53.333333333333336,25.5
BMW,2 Series,premium unleaded (required),240.0,4.0,MANUAL,rear wheel drive,2.0,Compact,Coupe,34,22,3916,32850,10,60.0,28.0
BMW,2 Series,premium unleaded (required),320.0,6.0,AUTOMATIC,all wheel drive,2.0,Compact,Coupe,30,20,3916,46150,10,53.333333333333336,25.0
BMW,2 Series,premium unleaded (required),320.0,6.0,AUTOMATIC,rear wheel drive,2.0,Compact,Convertible,30,20,3916,50750,10,53.333333333333336,25.0
BMW,2 Series,premium unleaded (recommended),335.0,6.0,AUTOMATIC,all wheel drive,2.0,Compact,Coupe,31,21,3916,46450,9,55.833333333333336,26.0
BMW,2 Series,premium unleaded (recommended),335.0,6.0,AUTOMATIC,rear wheel drive,2.0,Compact,Convertible,32,21,3916,49050,9,55.833333333333336,26.5
BMW,2 Series,premium unleaded (recommended),335.0,6.0,AUTOMATIC,all wheel drive,2.0,Compact,Convertible,32,21,3916,51050,9,55.833333333333336,26.5
BMW,2 Series,premium unleaded (recommended),335.0,6.0,AUTOMATIC,rear wheel drive,2.0,Compact,Coupe,32,21,3916,44450,9,55.833333333333336,26.5
BMW,2 Series,premium unleaded (recommended),248.0,4.0,AUTOMATIC,rear wheel drive,2.0,Compact,Convertible,34,23,3916,38950,9,62.0,28.5
BMW,2 Series,premium unleaded (recommended),248.0,4.0,AUTOMATIC,rear wheel drive,2.0,Compact,Coupe,35,24,3916,33150,9,62.0,29.5
BMW,2 Series,premium unleaded (recommended),248.0,4.0,AUTOMATIC,all wheel drive,2.0,Compact,Coupe,33,24,3916,35150,9,62.0,28.5
BMW,2 Series,premium unleaded (recommended),248.0,4.0,AUTOMATIC,all wheel drive,2.0,Compact,Convertible,33,23,3916,40950,9,62.0,28.0
Audi,200,regular unleaded,162.0,5.0,AUTOMATIC,front wheel drive,4.0,Midsize,Sedan,20,16,3105,2000,36,32.4,18.0
Audi,200,regular unleaded,162.0,5.0,MANUAL,all wheel drive,4.0,Midsize,Wagon,22,15,3105,2000,36,32.4,18.5
Audi,200,regular unleaded,162.0,5.0,MANUAL,all wheel drive,4.0,Midsize,Sedan,23,15,3105,2000,36,32.4,19.0
Audi,200,regular unleaded,217.0,5.0,MANUAL,all wheel drive,4.0,Midsize,Sedan,22,16,3105,2000,35,43.4,19.0
Audi,200,regular unleaded,217.0,5.0,MANUAL,all wheel drive,4.0,Midsize,Wagon,22,16,3105,2000,35,43.4,19.0
Audi,200,regular unleaded,162.0,5.0,AUTOMATIC,front wheel drive,4.0,Midsize,Sedan,20,16,3105,2000,35,32.4,18.0
Chrysler,200,flex-fuel (unleaded/E85),184.0,4.0,AUTOMATIC,front wheel drive,4.0,Midsize,Sedan,36,23,1013,25170,11,46.0,29.5
Chrysler,200,flex-fuel (unleaded/E85),184.0,4.0,AUTOMATIC,front wheel drive,4.0,Midsize,Sedan,36,23,1013,23950,11,46.0,29.5
Chrysler,200,flex-fuel (unleaded/E85),295.0,6.0,AUTOMATIC,all wheel drive,4.0,Midsize,Sedan,29,18,1013,29370,11,49.166666666666664,23.5
Chrysler,200,flex-fuel (unleaded/E85),184.0,4.0,AUTOMATIC,front wheel drive,4.0,Midsize,Sedan,36,23,1013,21995,11,46.0,29.5
Chrysler,200,flex-fuel (unleaded/E85),184.0,4.0,AUTOMATIC,front wheel drive,4.0,Midsize,Sedan,36,23,1013,26625,11,46.0,29.5
Chrysler,200,flex-fuel (unleaded/E85),295.0,6.0,AUTOMATIC,all wheel drive,4.0,Midsize,Sedan,29,18,1013,30825,11,49.166666666666664,23.5
Chrysler,200,flex-fuel (unleaded/E85),184.0,4.0,AUTOMATIC,front wheel drive,4.0,Midsize,Sedan,36,23,1013,21995,10,46.0,29.5
Chrysler,200,flex-fuel (unleaded/E85),184.0,4.0,AUTOMATIC,front wheel drive,4.0,Midsize,Sedan,36,23,1013,27795,10,46.0,29.5
Chrysler,200,flex-fuel (unleaded/E85),295.0,6.0,AUTOMATIC,all wheel drive,4.0,Midsize,Sedan,29,18,1013,31785,10,49.166666666666664,23.5
Chrysler,200,flex-fuel (unleaded/E85),295.0,6.0,AUTOMATIC,all wheel drive,4.0,Midsize,Sedan,29,18,1013,29905,10,49.166666666666664,23.5
Chrysler,200,flex-fuel (unleaded/E85),184.0,4.0,AUTOMATIC,front wheel drive,4.0,Midsize,Sedan,36,23,1013,22490,10,46.0,29.5
Chrysler,200,flex-fuel (unleaded/E85),184.0,4.0,AUTOMATIC,front wheel drive,4.0,Midsize,Sedan,36,23,1013,27570,10,46.0,29.5
Chrysler,200,flex-fuel (unleaded/E85),184.0,4.0,AUTOMATIC,front wheel drive,4.0,Midsize,Sedan,36,23,1013,25690,10,46.0,29.5
Chrysler,200,flex-fuel (unleaded/E85),184.0,4.0,AUTOMATIC,front wheel drive,4.0,Midsize,Sedan,36,23,1013,24490,10,46.0,29.5
Chrysler,200,flex-fuel (unleaded/E85),295.0,6.0,AUTOMATIC,all wheel drive,4.0,Midsize,Sedan,28,18,1013,29905,9,49.166666666666664,23.0
Chrysler,200,flex-fuel (unleaded/E85),295.0,6.0,AUTOMATIC,all wheel drive,4.0,Midsize,Sedan,28,18,1013,31785,9,49.166666666666664,23.0
Chrysler,200,flex-fuel (unleaded/E85),184.0,4.0,AUTOMATIC,front wheel drive,4.0,Midsize,Sedan,36,23,1013,26685,9,46.0,29.5
Chrysler,200,flex-fuel (unleaded/E85),184.0,4.0,AUTOMATIC,front wheel drive,4.0,Midsize,Sedan,36,23,1013,22490,9,46.0,29.5
Chrysler,200,flex-fuel (unleaded/E85),184.0,4.0,AUTOMATIC,front wheel drive,4.0,Midsize,Sedan,36,23,1013,25690,9,46.0,29.5
Chrysler,200,flex-fuel (unleaded/E85),295.0,6.0,AUTOMATIC,all wheel drive,4.0,Midsize,Sedan,28,18,1013,30900,9,49.166666666666664,23.0
Chrysler,200,flex-fuel (unleaded/E85),184.0,4.0,AUTOMATIC,front wheel drive,4.0,Midsize,Sedan,36,23,1013,27795,9,46.0,29.5
Chrysler,200,flex-fuel (unleaded/E85),184.0,4.0,AUTOMATIC,front wheel drive,4.0,Midsize,Sedan,36,23,1013,21995,9,46.0,29.5
Chrysler,200,flex-fuel (unleaded/E85),184.0,4.0,AUTOMATIC,front wheel drive,4.0,Midsize,Sedan,36,23,1013,24490,9,46.0,29.5
Nissan,200SX,regular unleaded,115.0,4.0,MANUAL,front wheel drive,2.0,Compact,Coupe,36,26,2009,2000,30,28.75,31.0
Nissan,200SX,regular unleaded,140.0,4.0,MANUAL,front wheel drive,2.0,Compact,Coupe,29,21,2009,2000,30,35.0,25.0
Nissan,200SX,regular unleaded,140.0,4.0,MANUAL,front wheel drive,2.0,Compact,Coupe,29,21,2009,2000,29,35.0,25.0
Nissan,200SX,regular unleaded,115.0,4.0,MANUAL,front wheel drive,2.0,Compact,Coupe,35,25,2009,2000,29,28.75,30.0
Nissan,200SX,regular unleaded,115.0,4.0,MANUAL,front wheel drive,2.0,Compact,Coupe,35,25,2009,2000,28,28.75,30.0
Nissan,200SX,regular unleaded,140.0,4.0,MANUAL,front wheel drive,2.0,Compact,Coupe,28,20,2009,2073,28,35.0,24.0
Nissan,240SX,regular unleaded,155.0,4.0,MANUAL,rear wheel drive,2.0,Compact,Coupe,26,19,2009,3713,30,38.75,22.5
Nissan,240SX,regular unleaded,155.0,4.0,MANUAL,rear wheel drive,2.0,Compact,Coupe,26,19,2009,3520,30,38.75,22.5
Nissan,240SX,regular unleaded,155.0,4.0,MANUAL,rear wheel drive,2.0,Compact,Coupe,26,19,2009,3910,29,38.75,22.5
